vendor_id,rate_code,passenger_count,trip_time_in_secs,trip_distance,payment_type,fare_amount,tip_amount
CMT,1,4,984,3.1,CSH,13.0,0.0
CMT,1,1,661,3.2,CSH,11.5,0.0
CMT,1,1,796,4.4,CSH,16.0,0.0
CMT,1,1,494,1.7,CRD,8.0,1.7
CMT,1,1,210,0.5,CRD,4.5,1.1
CMT,1,1,504,1.2,CRD,7.5,2.0
CMT,1,2,1405,10.3,CRD,31.0,7.36
CMT,1,1,737,1.2,CRD,9.0,1.9
CMT,1,1,496,1.4,CSH,8.0,0.0
VTS,1,5,300,0.99,CSH,6.0,0.0
VTS,1,5,1320,5.9,CRD,21.5,4.3
VTS,1,5,1260,2.3,CRD,14.0,1.5
VTS,1,5,420,1.37,CSH,7.5,0.0
VTS,1,5,660,1.79,CRD,9.5,1.0
VTS,1,5,540,1.93,CRD,9.0,2.7
VTS,1,5,480,1.07,CRD,7.5,2.25
CMT,1,3,763,1.9,CRD,10.0,2.2
CMT,1,2,1077,5.5,CSH,18.0,0.0
CMT,1,2,187,0.3,CRD,4.0,1.0
CMT,1,2,449,1.8,CSH,8.0,0.0
CMT,1,4,538,1.0,CSH,7.0,0.0
CMT,1,1,64,0.2,CSH,3.0,0.0
CMT,1,2,778,1.2,CSH,9.5,0.0
CMT,1,1,4,0.0,CSH,2.5,0.0
CMT,1,1,447,1.1,CRD,6.0,1.0
CMT,1,1,412,1.3,NOC,7.0,0.0
CMT,1,1,236,1.4,CSH,6.0,0.0
CMT,1,1,491,1.2,CRD,7.0,2.12
CMT,1,2,855,2.4,CSH,11.0,0.0
CMT,1,1,646,2.8,CRD,11.0,2.4
CMT,1,1,1771,6.7,CSH,24.5,0.0
CMT,1,1,143,0.4,CSH,4.0,0.0
CMT,1,1,381,0.5,CSH,6.0,0.0
CMT,1,1,705,1.9,CRD,9.5,2.2
CMT,1,1,588,1.8,CRD,9.0,2.0
CMT,1,2,777,1.3,CSH,9.5,0.0
CMT,1,1,1728,11.1,CRD,34.0,3.0
CMT,1,1,407,1.1,CRD,6.5,1.0
CMT,1,1,613,1.6,CRD,9.0,2.37
CMT,1,1,1053,5.1,CRD,18.5,4.75
CMT,1,1,1172,1.4,CSH,12.5,0.0
CMT,1,1,2351,4.6,CRD,25.5,5.2
CMT,1,1,455,1.0,CRD,6.5,1.5
CMT,1,2,1703,2.7,CSH,18.5,0.0
CMT,1,1,1762,8.9,CRD,30.0,6.2
CMT,1,1,466,1.0,CSH,7.0,0.0
CMT,1,1,289,1.0,CRD,5.5,1.75
CMT,1,1,2115,4.4,CRD,23.0,4.8
CMT,1,1,530,0.8,CSH,7.0,0.0
CMT,1,1,1459,8.0,CSH,26.5,0.0
CMT,1,1,1299,5.2,CRD,19.0,3.0
CMT,1,1,2261,18.1,CSH,52.0,0.0
VTS,1,5,1620,5.67,CRD,23.5,5.88
VTS,1,5,300,0.73,CRD,5.0,1.0
VTS,1,5,480,2.05,CRD,8.5,1.7
CMT,1,1,648,2.6,CRD,10.5,2.3
CMT,2,1,2475,5.1,CRD,27.0,5.0
CMT,1,1,65,0.8,CRD,3.0,1.0
CMT,1,1,1328,7.8,CRD,25.0,7.8
CMT,1,1,319,1.4,CRD,6.5,1.5
CMT,1,1,1066,4.9,CSH,17.0,0.0
CMT,1,1,602,2.9,NOC,11.0,0.0
CMT,1,1,358,1.9,CSH,8.0,0.0
CMT,1,1,696,4.5,CRD,15.5,2.0
CMT,1,1,3812,4.1,CSH,36.0,0.0
CMT,1,1,379,1.5,CSH,7.5,0.0
CMT,1,1,204,0.8,CSH,4.5,0.0
CMT,1,1,428,0.5,CRD,6.0,1.0
CMT,1,2,258,0.6,CSH,5.0,0.0
CMT,1,2,1549,2.7,CRD,17.5,1.0
CMT,1,1,577,0.9,CRD,7.5,1.0
CMT,1,1,1455,3.8,CRD,18.0,5.55
CMT,1,4,703,0.9,CSH,8.5,0.0
CMT,1,1,1441,2.4,CRD,15.5,3.2
CMT,1,1,903,2.3,CRD,12.0,2.5
CMT,1,2,458,1.1,CRD,7.0,1.5
CMT,1,1,661,0.6,CRD,8.0,1.0
CMT,1,1,1201,5.1,CSH,19.5,0.0
VTS,1,1,180,0.33,CSH,4.5,0.0
VTS,1,1,420,1.26,CRD,7.0,1.4
VTS,1,1,480,0.92,CSH,7.0,0.0
CMT,1,1,750,1.8,CSH,10.0,0.0
CMT,1,2,363,1.0,CSH,6.5,0.0
CMT,1,1,1216,7.0,CRD,23.5,5.0
CMT,1,1,741,1.7,CRD,10.0,2.1
CMT,1,1,418,1.7,CSH,8.0,0.0
CMT,1,1,1338,3.0,CSH,16.0,0.0
CMT,1,1,986,9.1,CRD,26.5,6.46
CMT,1,1,1636,10.1,CRD,32.0,11.34
CMT,1,1,1492,4.0,CRD,18.5,1.0
CMT,1,1,1021,2.2,CRD,12.5,2.7
CMT,1,1,226,0.8,CSH,5.0,0.0
CMT,1,1,544,1.5,CRD,8.5,2.25
CMT,1,1,549,1.0,CRD,7.5,1.0
CMT,1,1,1631,3.0,CSH,18.5,0.0
CMT,1,1,897,4.5,CSH,16.0,0.0
CMT,1,1,305,2.3,CRD,8.0,1.0
CMT,1,1,1468,9.8,CSH,31.0,0.0
CMT,1,1,903,4.3,CSH,15.0,0.0
CMT,1,1,628,3.6,CRD,12.0,2.0
CMT,1,1,324,1.7,CSH,7.5,0.0
CMT,1,1,510,0.9,CSH,7.0,0.0
CMT,1,1,900,2.5,CSH,11.5,0.0
CMT,1,1,528,1.3,CRD,7.5,2.12
CMT,1,1,476,1.1,CSH,7.0,0.0
CMT,1,1,257,1.2,CSH,6.0,0.0
VTS,1,1,120,0.57,CSH,4.0,0.0
VTS,1,1,720,1.6,CRD,9.0,1.9
VTS,1,1,780,2.98,CRD,12.0,1.5
VTS,1,1,420,1.81,CSH,8.0,0.0
VTS,1,1,480,2.28,CRD,9.5,1.0
VTS,1,1,180,1.14,CRD,5.5,1.0
VTS,1,1,480,1.64,CSH,8.0,0.0
